file,method,path,normalizedPath,line,matchingWrappers,classification
backend/app/main.py,POST,/api/v1/clients/{client_id}/knowledge/export-answer,/api/v1/clients/{param}/knowledge/export-answer,33112,exportAnswer,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/documents/from-text,/api/v1/clients/{param}/documents/from-text,33125,createClientTextDocument,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/documents/fill-template,/api/v1/clients/{param}/documents/fill-template,33129,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/documents/fill-template/start,/api/v1/clients/{param}/documents/fill-template/start,33134,startClientTemplateFill,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/template-fill-runs/{run_id},/api/v1/clients/{param}/template-fill-runs/{param},33153,getClientTemplateFillRun,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/workspace/backfill-imports,/api/v1/clients/{param}/workspace/backfill-imports,33159,backfillClientWorkspaceImports,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/meetings,/api/v1/clients/{param}/meetings,33179,createMeeting,active_bound
backend/app/main.py,GET,/api/v1/meetings/{meeting_id}/page-context,/api/v1/meetings/{param}/page-context,33187,getMeetingPageContext,active_bound
backend/app/main.py,GET,/api/v1/clients/{client_id}/meetings/{meeting_id}/page-context,/api/v1/clients/{param}/meetings/{param}/page-context,33204,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/event-lines/{event_line_id}/page-context,/api/v1/event-lines/{param}/page-context,33226,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings,/api/v1/clients/{param}/meetings,33296,createMeeting,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/launch-feishu,/api/v1/clients/{param}/meetings/launch-feishu,33326,launchFeishuMeeting,active_bound
backend/app/main.py,GET,/api/v1/feishu/status,/api/v1/feishu/status,33393,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/feishu/minutes,/api/v1/feishu/minutes,33406,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/feishu/minutes/{minute_token}/import,/api/v1/feishu/minutes/{param}/import,33424,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/feishu/tasks/push,/api/v1/feishu/tasks/push,33451,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/feishu/notify/weekly-review,/api/v1/feishu/notify/weekly-review,33477,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/feishu/notify/badge-unlock,/api/v1/feishu/notify/badge-unlock,33494,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/clients/{client_id}/meetings/{meeting_id},/api/v1/clients/{param}/meetings/{param},33508,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/proposals/prepare,/api/v1/clients/{param}/meetings/{param}/proposals/prepare,33515,createMeetingPrepareProposal,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/proposals/follow-up,/api/v1/clients/{param}/meetings/{param}/proposals/follow-up,33565,createMeetingFollowupProposal,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/ingest,/api/v1/clients/{param}/meetings/{param}/ingest,33630,ingestMeeting,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/extract,/api/v1/clients/{param}/meetings/{param}/extract,33662,extractMeeting,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/resolve,/api/v1/clients/{param}/meetings/{param}/resolve,33707,resolveMeeting,active_bound
backend/app/main.py,POST,/api/v1/clients/{client_id}/meetings/{meeting_id}/publish,/api/v1/clients/{param}/meetings/{param}/publish,33726,publishMeeting,active_bound
backend/app/main.py,GET,/api/v1/tasks,/api/v1/tasks,33811,getTaskBoard | createTask,active_bound
backend/app/main.py,GET,/api/v1/task-lists,/api/v1/task-lists,33827,createTaskList,active_bound
backend/app/main.py,POST,/api/v1/task-lists,/api/v1/task-lists,33838,createTaskList,active_bound
backend/app/main.py,PATCH,/api/v1/task-lists/{list_id},/api/v1/task-lists/{param},33872,updateTaskList | deleteTaskList,active_bound
backend/app/main.py,DELETE,/api/v1/task-lists/{list_id},/api/v1/task-lists/{param},33950,updateTaskList | deleteTaskList,active_bound
backend/app/main.py,GET,/api/v1/task-tags,/api/v1/task-tags,33985,createTaskTag,active_bound
backend/app/main.py,POST,/api/v1/task-tags,/api/v1/task-tags,33996,createTaskTag,active_bound
backend/app/main.py,PATCH,/api/v1/task-tags/{tag_id},/api/v1/task-tags/{param},34005,updateTaskTag | deleteTaskTag,active_bound
backend/app/main.py,DELETE,/api/v1/task-tags/{tag_id},/api/v1/task-tags/{param},34023,updateTaskTag | deleteTaskTag,active_bound
backend/app/main.py,POST,/api/v1/tasks/refresh-contexts,/api/v1/tasks/refresh-contexts,34037,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/tasks/bootstrap-event-lines,/api/v1/tasks/bootstrap-event-lines,34084,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/tasks,/api/v1/tasks,34131,getTaskBoard | createTask,active_bound
backend/app/main.py,PATCH,/api/v1/tasks/{task_id},/api/v1/tasks/{param},34135,updateTask | deleteTask,active_bound
backend/app/main.py,DELETE,/api/v1/tasks/{task_id},/api/v1/tasks/{param},34651,updateTask | deleteTask,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/attachments,/api/v1/tasks/{param}/attachments,34764,uploadTaskAttachment,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/confirm,/api/v1/tasks/{param}/confirm,35051,confirmTask,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/reject,/api/v1/tasks/{param}/reject,35067,rejectTask,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/complete-with-review,/api/v1/tasks/{param}/complete-with-review,35089,completeTaskWithReview,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/review/approve,/api/v1/tasks/{param}/review/approve,35100,approveTaskReview,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/review/return,/api/v1/tasks/{param}/review/return,35111,returnTaskReview,active_bound
backend/app/main.py,POST,/api/v1/tasks/{task_id}/note,/api/v1/tasks/{param}/note,35126,saveTaskNote,active_bound
backend/app/main.py,GET,/api/v1/tasks/{task_id}/activity,/api/v1/tasks/{param}/activity,35143,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/tasks/agent-execution,/api/v1/tasks/agent-execution,35182,getAgentExecutionTasks,active_bound
backend/app/main.py,POST,/api/v1/local/tasks/tag-suggestions,/api/v1/local/tasks/tag-suggestions,35213,getTaskTagSuggestions,active_bound
backend/app/main.py,GET,/api/v1/reviews,/api/v1/reviews,35232,,backend_only_no_ui_binding
backend/app/main.py,GET,/api/v1/reviews/history,/api/v1/reviews/history,35251,getReviewHistory,active_bound
backend/app/main.py,POST,/api/v1/reviews/weekly/draft,/api/v1/reviews/weekly/draft,35453,createWeeklyReviewDraft,active_bound
backend/app/main.py,POST,/api/v1/reviews/weekly,/api/v1/reviews/weekly,35496,createWeeklyReview,active_bound
backend/app/main.py,GET,/api/v1/topics,/api/v1/topics,36105,getTopics,active_bound
backend/app/main.py,POST,/api/v1/topics/radars,/api/v1/topics/radars,36110,createRadar,active_bound
backend/app/main.py,PUT,/api/v1/topics/radars/{radar_id},/api/v1/topics/radars/{param},36129,updateRadar,active_bound
backend/app/main.py,POST,/api/v1/topics/radars/generate-title,/api/v1/topics/radars/generate-title,36149,suggestRadarTitle,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/topics/radars/source-label,/api/v1/topics/radars/source-label,36153,suggestRadarSourceLabel,active_bound
backend/app/main.py,POST,/api/v1/topics/radars/assist,/api/v1/topics/radars/assist,36176,assistRadarDraft,active_bound
backend/app/main.py,POST,/api/v1/topics/candidates,/api/v1/topics/candidates,36186,,backend_only_no_ui_binding
backend/app/main.py,POST,/api/v1/topics/candidates/{candidate_id}/insights,/api/v1/topics/candidates/{param}/insights,36200,getCandidateInsights,active_bound
backend/app/main.py,POST,/api/v1/topics/candidates/{candidate_id}/chat,/api/v1/topics/candidates/{param}/chat,36210,askCandidateQuestion,active_bound
backend/app/main.py,POST,/api/v1/topics/candidates/{candidate_id}/task-plan,/api/v1/topics/candidates/{param}/task-plan,36274,getCandidateTaskPlan,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/topics/candidates/{candidate_id}/promote-tasks,/api/v1/topics/candidates/{param}/promote-tasks,36320,promoteCandidateTasks,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/topics/capture,/api/v1/topics/capture,36368,captureTopicRadars,active_bound
backend/app/main.py,POST,/api/v1/topics/candidates/{candidate_id}/promote-task,/api/v1/topics/candidates/{param}/promote-task,36379,,backend_only_no_ui_binding
backend/app/main.py,DELETE,/api/v1/topics/candidates/{candidate_id},/api/v1/topics/candidates/{param},36404,deleteCandidate,active_bound
backend/app/main.py,GET,/api/v1/analysis-tools,/api/v1/analysis-tools,36448,getAnalysisTools,active_bound
backend/app/main.py,POST,/api/v1/analysis-tools/runs,/api/v1/analysis-tools/runs,36465,runAnalysis,active_bound
backend/app/main.py,GET,/api/v1/analysis-tools/fundraising/dna,/api/v1/analysis-tools/fundraising/dna,36539,getFundraisingDeepDnaLibrary | upsertFundraisingDeepDna,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/analysis-tools/fundraising/dna,/api/v1/analysis-tools/fundraising/dna,36544,getFundraisingDeepDnaLibrary | upsertFundraisingDeepDna,api_wrapper_orphan
backend/app/main.py,POST,/api/v1/analysis-tools/fundraising/dna/manual,/api/v1/analysis-tools/fundraising/dna/manual,36555,createFundraisingManualDna,active_bound
